n type t_tot t_blk lambda s feed x y z
10 0 0.720000 0.714000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.726000 0.720000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.732000 0.726000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.738000 0.732000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.744000 0.738000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.750000 0.744000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.756000 0.750000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.762000 0.756000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.768000 0.762000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.774000 0.768000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.780000 0.774000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.786000 0.780000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.792000 0.786000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.798000 0.792000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.804000 0.798000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.810000 0.804000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.816000 0.810000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.822000 0.816000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.828000 0.822000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.834000 0.828000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.840000 0.834000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.846000 0.840000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.852000 0.846000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.858000 0.852000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.864000 0.858000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.870000 0.864000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.876000 0.870000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.882000 0.876000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.888000 0.882000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.894000 0.888000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.900000 0.894000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.906000 0.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.912000 0.906000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.918000 0.912000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.924000 0.918000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.930000 0.924000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.936000 0.930000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.942000 0.936000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.948000 0.942000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.954000 0.948000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.960000 0.954000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.966000 0.960000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.972000 0.966000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.978000 0.972000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.984000 0.978000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.990000 0.984000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.996000 0.990000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.002000 0.996000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.008000 1.002000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.014000 1.008000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.020000 1.014000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.026000 1.020000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.032000 1.026000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.038000 1.032000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.044000 1.038000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.050000 1.044000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.056000 1.050000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.062000 1.056000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.068000 1.062000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.074000 1.068000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.080000 1.074000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.086000 1.080000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.092000 1.086000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.098000 1.092000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.104000 1.098000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.110000 1.104000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.116000 1.110000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.122000 1.116000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.128000 1.122000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.134000 1.128000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.140000 1.134000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.146000 1.140000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.152000 1.146000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.158000 1.152000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.164000 1.158000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.170000 1.164000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.176000 1.170000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.182000 1.176000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.188000 1.182000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.194000 1.188000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.200000 1.194000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.206000 1.200000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.212000 1.206000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.218000 1.212000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.224000 1.218000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.230000 1.224000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.236000 1.230000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.242000 1.236000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 1.248000 1.242000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
